DATE,TEAM,VS,H/A,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
10/20/2022 , MIL,PHI,A,W,240,90,34,84,40.5,13,42,31,9,14,64.3,7,41,48,24,4,6,12,16
10/22/2022 , MIL,HOU,H,W,240,125,48,85,56.5,16,31,51.6,13,21,61.9,8,39,47,29,6,10,16,22
10/26/2022 , MIL,BKN,H,W,240,110,39,88,44.3,10,36,27.8,22,29,75.9,14,40,54,21,8,12,18,22
10/28/2022 , MIL,NYK,H,W,240,119,42,109,38.5,13,45,28.9,22,27,81.5,19,41,60,23,8,8,6,23
10/29/2022 , MIL,ATL,H,W,240,123,45,92,48.9,14,36,38.9,19,29,65.5,14,35,49,24,8,5,11,18
10/31/2022 , MIL,DET,H,W,240,110,38,87,43.7,11,40,27.5,23,29,79.3,14,36,50,20,5,5,16,21
11/02/2022 , MIL,DET,H,W,240,116,43,92,46.7,10,38,26.3,20,24,83.3,15,37,52,24,17,5,16,16
11/04/2022 , MIL,MIN,A,W,240,115,41,85,48.2,17,38,44.7,16,28,57.1,7,44,51,29,7,2,13,22
11/05/2022 , MIL,OKC,H,W,240,108,38,90,42.2,17,47,36.2,15,17,88.2,18,37,55,23,7,6,18,16
11/07/2022 , MIL,ATL,A,L,240,98,36,87,41.4,13,40,32.5,13,16,81.3,6,35,41,21,5,9,18,18
11/09/2022 , MIL,OKC,A,W,290,136,50,106,47.2,17,36,47.2,19,22,86.4,11,44,55,27,8,7,16,23
11/11/2022 , MIL,SAS,A,L,240,93,32,98,32.7,12,43,27.9,17,23,73.9,21,27,48,22,7,5,13,14
11/14/2022 , MIL,ATL,H,L,240,106,34,82,41.5,6,29,20.7,32,41,78,11,35,46,21,4,3,15,26
11/16/2022 , MIL,CLE,H,W,240,113,41,86,47.7,16,39,41,15,27,55.6,13,39,52,26,5,6,14,16
11/18/2022 , MIL,PHI,A,L,240,102,41,90,45.6,12,36,33.3,8,21,38.1,8,34,42,22,8,7,12,18
11/21/2022 , MIL,POR,H,W,240,119,47,86,54.7,9,28,32.1,16,25,64,10,32,42,31,12,8,14,17
11/23/2022 , MIL,CHI,H,L,240,113,41,90,45.6,12,38,31.6,19,25,76,11,37,48,24,5,3,19,17
11/25/2022 , MIL,CLE,H,W,240,117,42,83,50.6,15,32,46.9,18,25,72,8,35,43,27,4,9,13,22
11/27/2022 , MIL,DAL,H,W,240,124,48,86,55.8,17,37,45.9,11,15,73.3,8,32,40,28,8,5,13,24
11/30/2022 , MIL,NYK,A,W,240,109,39,90,43.3,10,35,28.6,21,26,80.8,14,38,52,23,3,6,5,15
12/02/2022 , MIL,LAL,H,L,240,129,50,94,53.2,17,43,39.5,12,15,80,10,32,42,29,2,5,9,18
12/03/2022 , MIL,CHA,A,W,240,105,39,83,47,12,32,37.5,15,19,78.9,8,39,47,24,5,8,21,17
12/05/2022 , MIL,ORL,A,W,240,109,38,85,44.7,13,40,32.5,20,26,76.9,7,38,45,31,9,4,17,20
12/07/2022 , MIL,SAC,H,W,240,126,46,96,47.9,14,33,42.4,20,24,83.3,17,33,50,34,3,2,7,15
12/09/2022 , MIL,DAL,A,W,240,106,38,87,43.7,11,32,34.4,19,23,82.6,13,38,51,27,5,4,15,21
12/11/2022 , MIL,HOU,A,L,240,92,33,90,36.7,12,43,27.9,14,18,77.8,13,39,52,18,5,6,15,12
12/13/2022 , MIL,GSW,H,W,240,128,45,82,54.9,12,29,41.4,26,32,81.3,12,43,55,22,8,5,21,18
12/15/2022 , MIL,MEM,A,L,240,101,35,94,37.2,13,50,26,18,27,66.7,11,28,39,22,5,1,9,18
12/17/2022 , MIL,UTA,H,W,240,123,48,90,53.3,18,38,47.4,9,11,81.8,15,39,54,30,5,3,14,13
12/19/2022 , MIL,NOP,A,W,240,128,45,81,55.6,13,40,32.5,25,31,80.6,8,36,44,26,8,6,17,21
12/21/2022 , MIL,CLE,A,L,240,106,39,83,47,13,30,43.3,15,22,68.2,13,33,46,20,7,5,19,23
12/23/2022 , MIL,BKN,A,L,240,100,37,84,44,9,37,24.3,17,22,77.3,13,32,45,17,7,1,18,13
12/25/2022 , MIL,BOS,A,L,240,118,42,84,50,13,36,36.1,21,27,77.8,8,31,39,22,8,1,15,16
12/28/2022 , MIL,CHI,A,L,265,113,41,110,37.3,9,44,20.5,22,32,68.8,22,39,61,18,7,6,14,21
12/30/2022 , MIL,MIN,H,W,240,123,43,93,46.2,14,39,35.9,23,33,69.7,20,48,68,25,5,8,21,25
01/01/2023 , MIL,WAS,H,L,240,95,34,96,35.4,13,49,26.5,14,15,93.3,14,30,44,22,11,3,16,15
01/03/2023 , MIL,WAS,H,W,240,123,48,100,48,11,40,27.5,16,17,94.1,15,34,49,27,8,6,12,14
01/04/2023 , MIL,TOR,A,W,265,104,35,88,39.8,13,39,33.3,21,30,70,13,60,73,26,4,4,25,24
01/06/2023 , MIL,CHA,H,L,240,109,37,84,44,20,48,41.7,15,24,62.5,12,33,45,22,5,4,16,18
01/09/2023 , MIL,NYK,A,W,240,111,39,89,43.8,19,49,38.8,14,18,77.8,12,36,48,27,3,5,14,17
01/11/2023 , MIL,ATL,A,W,240,114,45,98,45.9,18,48,37.5,6,11,54.5,14,43,57,28,6,4,10,15
01/12/2023 , MIL,MIA,A,L,240,102,35,87,40.2,22,57,38.6,10,15,66.7,8,31,39,20,10,2,10,12
01/14/2023 , MIL,MIA,A,L,240,95,34,84,40.5,19,48,39.6,8,12,66.7,7,25,32,26,7,2,10,13
01/16/2023 , MIL,IND,H,W,240,132,48,91,52.7,23,46,50,13,15,86.7,9,32,41,32,9,1,13,14
01/17/2023 , MIL,TOR,H,W,240,130,46,86,53.5,19,39,48.7,19,21,90.5,6,36,42,24,5,5,11,19
01/21/2023 , MIL,CLE,A,L,240,102,39,86,45.3,14,39,35.9,10,11,90.9,7,29,36,24,3,6,14,17
01/23/2023 , MIL,DET,A,W,240,150,55,98,56.1,23,52,44.2,17,24,70.8,13,37,50,38,11,6,18,27
01/25/2023 , MIL,DEN,H,W,240,107,37,78,47.4,13,30,43.3,20,28,71.4,7,42,49,16,11,7,22,15
01/27/2023 , MIL,IND,A,W,240,141,52,98,53.1,18,43,41.9,19,31,61.3,14,36,50,32,11,3,16,20
01/29/2023 , MIL,NOP,H,W,240,135,53,96,55.2,17,43,39.5,12,20,60,12,45,57,27,7,4,11,18
01/31/2023 , MIL,CHA,H,W,240,124,43,105,41,15,44,34.1,23,27,85.2,16,50,66,18,7,8,12,21
02/02/2023 , MIL,LAC,H,W,240,106,39,90,43.3,9,37,24.3,19,27,70.4,8,45,53,16,2,0,10,17
02/04/2023 , MIL,MIA,H,W,240,123,46,88,52.3,14,40,35,17,28,60.7,10,41,51,23,6,4,12,14
02/06/2023 , MIL,POR,A,W,240,127,47,87,54,16,42,38.1,17,21,81,7,48,55,27,4,2,14,27
02/09/2023 , MIL,LAL,A,W,240,115,45,99,45.5,12,47,25.5,13,18,72.2,16,35,51,24,5,7,10,20
02/10/2023 , MIL,LAC,A,W,240,119,45,90,50,17,39,43.6,12,16,75,9,40,49,28,8,4,11,13
02/14/2023 , MIL,BOS,H,W,265,131,43,90,47.8,18,42,42.9,27,35,77.1,10,42,52,29,6,3,18,23
02/16/2023 , MIL,CHI,A,W,240,112,40,88,45.5,18,47,38.3,14,18,77.8,9,43,52,24,4,7,8,16
02/24/2023 , MIL,MIA,H,W,240,128,47,98,48,19,46,41.3,15,19,78.9,10,47,57,27,6,1,10,18
02/26/2023 , MIL,PHX,H,W,240,104,38,87,43.7,13,45,28.9,15,21,71.4,11,34,45,15,4,7,11,20
02/28/2023 , MIL,BKN,A,W,240,118,50,102,49,14,37,37.8,4,12,33.3,11,44,55,32,10,3,17,21
03/01/2023 , MIL,ORL,H,W,240,139,49,94,52.1,26,56,46.4,15,19,78.9,8,38,46,29,4,1,8,23
03/04/2023 , MIL,PHI,H,L,240,130,44,83,53,17,34,50,25,28,89.3,11,32,43,30,3,3,13,23
